Pattern String,Frequency,Sequence Support,Average Pattern Frequency,Proportional Pattern Frequency
DCD,88,0.8,5.866666667,0.002555465
CAF,57,0.8,3.8,0.001655245
CCE,113,0.8,7.533333333,0.00328145
BAF,60,0.8,4,0.001742363
DFA,50,0.8,3.333333333,0.001451969
ACCD,45,0.8,3,0.001307341
ACEA,50,0.8,3.333333333,0.001452602
BBCA,49,0.8,3.266666667,0.00142355
BBBH,20,0.8,1.333333333,5.81E-04
BBBE,56,0.8,3.733333333,0.001626914
FFAA,89,0.8,5.933333333,0.002585631
BBEA,29,0.8,1.933333333,8.43E-04
DDBB,116,0.8,7.733333333,0.003370036
DDDC,146,0.8,9.733333333,0.004241597
HHAB,23,0.8,1.533333333,6.68E-04
CABA,36,0.8,2.4,0.001045873
CAAD,44,0.8,2.933333333,0.001278289
CACC,76,0.8,5.066666667,0.002207954
HHBB,27,0.8,1.8,7.84E-04
ECDD,37,0.8,2.466666667,0.001074925
ADBB,34,0.8,2.266666667,9.88E-04
ADCC,47,0.8,3.133333333,0.001365446
ADDC,72,0.8,4.8,0.002091746
ADDA,131,0.8,8.733333333,0.003805816
BCCA,32,0.8,2.133333333,9.30E-04
DEAA,38,0.8,2.533333333,0.001103977
BCCB,36,0.8,2.4,0.001045873
DAAC,45,0.8,3,0.001307341
DAAB,30,0.8,2,8.72E-04
EDDD,58,0.8,3.866666667,0.001685018
DAAD,77,0.8,5.133333333,0.002237006
DADC,32,0.8,2.133333333,9.30E-04
DADA,46,0.8,3.066666667,0.001336393
DAEE,27,0.8,1.8,7.84E-04
AECD,25,0.8,1.666666667,7.26E-04
AEDD,56,0.8,3.733333333,0.001626914
BHHH,51,0.8,3.4,0.001481654
AEEA,73,0.8,4.866666667,0.002120798
AAAH,94,0.8,6.266666667,0.002730891
AABC,34,0.8,2.266666667,9.88E-04
CCCA,140,0.8,9.333333333,0.004067285
AADD,213,0.8,14.2,0.006188083
AAFA,75,0.8,5,0.002178902
CCCD,80,0.8,5.333333333,0.002324163
AAEE,83,0.8,5.533333333,0.002411319
EEAE,47,0.8,3.133333333,0.001365446
AAFF,89,0.8,5.933333333,0.002585631
EEDD,44,0.8,2.933333333,0.001278289
EAEE,38,0.8,2.533333333,0.001103977
EADD,35,0.8,2.333333333,0.001016821
HBBB,18,0.8,1.2,5.23E-04
BEAA,32,0.8,2.133333333,9.30E-04
AFFA,59,0.8,3.933333333,0.00171407
ABCC,26,0.8,1.733333333,7.55E-04
BAAF,23,0.8,1.533333333,6.68E-04
BAAB,65,0.8,4.333333333,0.001888382
BAAC,48,0.8,3.2,0.001394498
BADD,39,0.8,2.6,0.001133029
BACF,16,0.8,1.066666667,4.65E-04
BAHH,29,0.8,1.933333333,8.43E-04
FADD,36,0.8,2.4,0.001045873
ACAE,28,0.8,1.866666667,8.13E-04
ACAC,61,0.8,4.066666667,0.001772174
ACAB,41,0.8,2.733333333,0.001191133
ACBB,60,0.8,4,0.001743122
